"Description: ","Annual number of days when TX > 25 degrees_C"
"Station: ","Ṣo Gabriel"
"Latitude: ","-30.34138888"
"Longitude: ","-54.31083333"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, su, normalised (all years)
2008, 197, -1.21070146840689
2009, 212, 0.605350734203446
2010, 207, 0
2011, 204, -0.363210440522068
2012, -99.9, -99.9
2013, 200, -0.847491027884825
2014, -99.9, -99.9
2015, 201, -0.726420881044135
2016, -99.9, -99.9
2017, 219, 1.45284176208827
2018, 206, -0.121070146840689
2019, 202, -0.605350734203446
2020, 222, 1.81605220261034
2021, -99.9, -99.9
2022, -99.9, -99.9
2023, -99.9, -99.9
2024, -99.9, -99.9
