"Description: ","TN > 0"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, TNgt0, normalised (all years)
2008-01, 31, 0.788347560358495
2008-02, 29, -1.31391260059749
2008-03, 31, 0.788347560358495
2008-04, 30, -0.262782520119498
2008-05, 29, -1.31391260059749
2008-06, 27, -3.41617276155348
2008-07, 29, -1.31391260059749
2008-08, 30, -0.262782520119498
2008-09, 30, -0.262782520119498
2008-10, 30, -0.262782520119498
2008-11, 30, -0.262782520119498
2008-12, 31, 0.788347560358495
2009-01, 31, 0.788347560358495
2009-02, 28, -2.36504268107548
2009-03, 31, 0.788347560358495
2009-04, 30, -0.262782520119498
2009-05, 31, 0.788347560358495
2009-06, 30, -0.262782520119498
2009-07, 28, -2.36504268107548
2009-08, 31, 0.788347560358495
2009-09, 30, -0.262782520119498
2009-10, 31, 0.788347560358495
2009-11, 30, -0.262782520119498
2009-12, 31, 0.788347560358495
2010-01, 31, 0.788347560358495
2010-02, 28, -2.36504268107548
2010-03, 31, 0.788347560358495
2010-04, 30, -0.262782520119498
2010-05, 31, 0.788347560358495
2010-06, 30, -0.262782520119498
2010-07, 30, -0.262782520119498
2010-08, 31, 0.788347560358495
2010-09, 30, -0.262782520119498
2010-10, 31, 0.788347560358495
2010-11, 30, -0.262782520119498
2010-12, 31, 0.788347560358495
2011-01, 31, 0.788347560358495
2011-02, 28, -2.36504268107548
2011-03, 31, 0.788347560358495
2011-04, 30, -0.262782520119498
2011-05, 31, 0.788347560358495
2011-06, 29, -1.31391260059749
2011-07, 29, -1.31391260059749
2011-08, 31, 0.788347560358495
2011-09, 30, -0.262782520119498
2011-10, 31, 0.788347560358495
2011-11, 30, -0.262782520119498
2011-12, 31, 0.788347560358495
2012-01, 31, 0.788347560358495
2012-02, 29, -1.31391260059749
2012-03, 31, 0.788347560358495
2012-04, 30, -0.262782520119498
2012-05, 31, 0.788347560358495
2012-06, 28, -2.36504268107548
2012-07, 31, 0.788347560358495
2012-08, 31, 0.788347560358495
2012-09, -99.9, -99.9
2012-10, -99.9, -99.9
2012-11, 30, -0.262782520119498
2012-12, 31, 0.788347560358495
2013-01, 31, 0.788347560358495
2013-02, 28, -2.36504268107548
2013-03, 30, -0.262782520119498
2013-04, 30, -0.262782520119498
2013-05, 31, 0.788347560358495
2013-06, 30, -0.262782520119498
2013-07, 31, 0.788347560358495
2013-08, 30, -0.262782520119498
2013-09, 30, -0.262782520119498
2013-10, 31, 0.788347560358495
2013-11, 30, -0.262782520119498
2013-12, 31, 0.788347560358495
2014-01, 31, 0.788347560358495
2014-02, 28, -2.36504268107548
2014-03, 31, 0.788347560358495
2014-04, 30, -0.262782520119498
2014-05, 31, 0.788347560358495
2014-06, 30, -0.262782520119498
2014-07, 31, 0.788347560358495
2014-08, 31, 0.788347560358495
2014-09, 30, -0.262782520119498
2014-10, 31, 0.788347560358495
2014-11, 30, -0.262782520119498
2014-12, 31, 0.788347560358495
2015-01, 31, 0.788347560358495
2015-02, 28, -2.36504268107548
2015-03, 31, 0.788347560358495
2015-04, 30, -0.262782520119498
2015-05, 31, 0.788347560358495
2015-06, 30, -0.262782520119498
2015-07, 31, 0.788347560358495
2015-08, 31, 0.788347560358495
2015-09, 30, -0.262782520119498
2015-10, 31, 0.788347560358495
2015-11, 30, -0.262782520119498
2015-12, 31, 0.788347560358495
2016-01, 31, 0.788347560358495
2016-02, 29, -1.31391260059749
2016-03, 31, 0.788347560358495
2016-04, -99.9, -99.9
2016-05, -99.9, -99.9
2016-06, -99.9, -99.9
2016-07, -99.9, -99.9
2016-08, 31, 0.788347560358495
2016-09, 30, -0.262782520119498
2016-10, 31, 0.788347560358495
2016-11, 30, -0.262782520119498
2016-12, 31, 0.788347560358495
2017-01, 31, 0.788347560358495
2017-02, 27, -3.41617276155348
2017-03, 31, 0.788347560358495
2017-04, 30, -0.262782520119498
2017-05, 31, 0.788347560358495
2017-06, 30, -0.262782520119498
2017-07, 30, -0.262782520119498
2017-08, 31, 0.788347560358495
2017-09, 30, -0.262782520119498
2017-10, 31, 0.788347560358495
2017-11, 30, -0.262782520119498
2017-12, 31, 0.788347560358495
2018-01, 31, 0.788347560358495
2018-02, 28, -2.36504268107548
2018-03, 31, 0.788347560358495
2018-04, 30, -0.262782520119498
2018-05, 31, 0.788347560358495
2018-06, 29, -1.31391260059749
2018-07, 31, 0.788347560358495
2018-08, 31, 0.788347560358495
2018-09, 30, -0.262782520119498
2018-10, 30, -0.262782520119498
2018-11, 29, -1.31391260059749
2018-12, 31, 0.788347560358495
2019-01, 31, 0.788347560358495
2019-02, 28, -2.36504268107548
2019-03, 31, 0.788347560358495
2019-04, 30, -0.262782520119498
2019-05, 31, 0.788347560358495
2019-06, 30, -0.262782520119498
2019-07, 30, -0.262782520119498
2019-08, 30, -0.262782520119498
2019-09, 30, -0.262782520119498
2019-10, 31, 0.788347560358495
2019-11, 30, -0.262782520119498
2019-12, 31, 0.788347560358495
2020-01, 31, 0.788347560358495
2020-02, 29, -1.31391260059749
2020-03, 31, 0.788347560358495
2020-04, 30, -0.262782520119498
2020-05, 31, 0.788347560358495
2020-06, 30, -0.262782520119498
2020-07, 29, -1.31391260059749
2020-08, 31, 0.788347560358495
2020-09, 30, -0.262782520119498
2020-10, -99.9, -99.9
2020-11, -99.9, -99.9
2020-12, -99.9, -99.9
2021-01, 28, -2.36504268107548
2021-02, 28, -2.36504268107548
2021-03, 31, 0.788347560358495
2021-04, 30, -0.262782520119498
2021-05, 31, 0.788347560358495
2021-06, 30, -0.262782520119498
2021-07, 30, -0.262782520119498
2021-08, 31, 0.788347560358495
2021-09, 30, -0.262782520119498
2021-10, 31, 0.788347560358495
2021-11, 30, -0.262782520119498
2021-12, 31, 0.788347560358495
2022-01, 31, 0.788347560358495
2022-02, 28, -2.36504268107548
2022-03, 31, 0.788347560358495
2022-04, 30, -0.262782520119498
2022-05, 31, 0.788347560358495
2022-06, 29, -1.31391260059749
2022-07, 31, 0.788347560358495
2022-08, 31, 0.788347560358495
2022-09, 30, -0.262782520119498
2022-10, 31, 0.788347560358495
2022-11, 30, -0.262782520119498
2022-12, 31, 0.788347560358495
2023-01, 31, 0.788347560358495
2023-02, 28, -2.36504268107548
2023-03, 31, 0.788347560358495
2023-04, 30, -0.262782520119498
2023-05, 31, 0.788347560358495
2023-06, 30, -0.262782520119498
2023-07, 31, 0.788347560358495
2023-08, 31, 0.788347560358495
2023-09, 30, -0.262782520119498
2023-10, 31, 0.788347560358495
2023-11, 30, -0.262782520119498
2023-12, 31, 0.788347560358495
2024-01, 31, 0.788347560358495
2024-02, 29, -1.31391260059749
2024-03, 31, 0.788347560358495
2024-04, 30, -0.262782520119498
2024-05, 31, 0.788347560358495
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
